Date,Open,High,Low,Close,Volume
4/2/2020,20819.46,21477.77,20735.02,21413.44,529540000
4/1/2020,21227.38,21487.24,20784.43,20943.51,506680000
3/31/2020,22208.42,22480.37,21852.08,21917.16,571210000
3/30/2020,21678.22,22378.09,21522.08,22327.48,545540000
3/27/2020,21898.47,22327.57,21469.27,21636.78,588830000
3/26/2020,21468.38,22595.06,21427.1,22552.17,705180000
3/25/2020,21050.34,22019.93,20538.34,21200.55,796320000
3/24/2020,19722.19,20737.7,19649.25,20704.91,799340000
3/23/2020,19028.36,19121.01,18213.65,18591.93,787970000
3/20/2020,20253.15,20531.26,19094.27,19173.98,872290000
3/19/2020,19830.01,20442.63,19177.13,20087.19,780300000
3/18/2020,20188.69,20489.33,18917.46,19898.92,871360000
3/17/2020,20487.05,21379.35,19882.26,21237.38,793060000
3/16/2020,20917.53,21768.28,20116.46,20188.52,770130000
3/13/2020,21973.82,23189.76,21285.37,23185.62,843080000
3/12/2020,22184.71,22837.95,21154.46,21200.62,908260000
3/11/2020,24604.63,24604.63,23328.32,23553.22,663960000
3/10/2020,24453,25020.99,23690.34,25018.16,654860000
3/9/2020,24992.36,24992.36,23706.07,23851.02,750430000
3/6/2020,25457.21,25994.38,25226.62,25864.78,599780000
3/5/2020,26671.92,26671.92,25943.33,26121.28,477370000
3/4/2020,26383.68,27102.34,26286.31,27090.86,457590000
3/3/2020,26762.47,27084.59,25706.28,25917.41,647080000
